,bigram,counts
0,"('ucry', 'policy')",8
2,"('cryptocurrency', 'price')",7
1,"('bitcoin', 'ethereum')",7
3,"('price', 'bitcoin')",6
4,"('machine', 'learning')",6
5,"('long', 'short-term')",5
6,"('short-term', 'memory')",5
11,"('cryptocurrency', 'market')",4
12,"('cryptocurrency', 'return')",4
10,"('neural', 'network')",4
9,"('price', 'ethereum')",4
8,"('cryptocurrency', 'exchange')",4
7,"('bitcoin', 'price')",4
21,"('deep', 'learning')",3
29,"('historical', 'price')",3
28,"('trading', 'strategy')",3
27,"('digital', 'asset')",3
26,"('price', 'volatility')",3
25,"('ethereum', 'cardano')",3
24,"('recurrent', 'unit')",3
22,"('learning', 'algorithm')",3
23,"('gated', 'recurrent')",3
20,"('price', 'prediction')",3
19,"('price', 'data')",3
18,"('xlm', 'dash')",3
17,"('event', 'china')",3
16,"('salient', 'event')",3
15,"('policy', 'cryptocurrency')",3
14,"('sentiment', 'analysis')",3
13,"('ethereum', 'price')",3
74,"('forecasting', 'approach')",2
80,"('model', 'random')",2
79,"('forecasting', 'accuracy')",2
78,"('cryptocurrencies', 'bitcoin')",2
77,"('nonlinear', 'volatile')",2
76,"('price', 'cryptocurrencies')",2
75,"('linear', 'regression')",2
71,"('current', 'study')",2
73,"('grey', 'forecasting')",2
72,"('study', 'us')",2
82,"('rw', 'arima')",2
70,"('finance', 'literature')",2
69,"('return', 'besides')",2
68,"('xmr', 'return')",2
67,"('dash', 'xmr')",2
81,"('ensemble', 'model')",2
96,"('blockchain', 'technology')",2
83,"('arima', 'ann')",2
92,"('model', 'wa')",2
98,"('price', 'fluctuation')",2
97,"('test', 'period')",2
65,"('ltc', 'xrp')",2
95,"('forecast', 'bitcoin’s')",2
94,"('bitcoin’s', 'price')",2
93,"('time', 'series')",2
91,"('cardano', 'respectively')",2
84,"('market', 'capitalization')",2
90,"('bilstm', 'algorithm')",2
89,"('algorithm', 'used')",2
88,"('lstm', 'bilstm')",2
87,"('bidirectional', 'lstm')",2
86,"('memory', 'lstm')",2
85,"('unit', 'gru')",2
66,"('xrp', 'xlm')",2
50,"('time-varying', 'correlation')",2
64,"('eth', 'ltc')",2
37,"('closing', 'price')",2
43,"('market', 'movement')",2
42,"('movement', 'bitcoin')",2
41,"('price', 'movement')",2
40,"('bitcoin', 'paper')",2
39,"('learning', 'technique')",2
38,"('used', 'predict')",2
36,"('could', 'used')",2
45,"('support', 'vector')",2
35,"('cryptocurrencies', 'based')",2
34,"('recent', 'year')",2
33,"('research', 'topic')",2
32,"('price', 'based')",2
31,"('relationship', 'bitcoin')",2
30,"('analysis', 'relationship')",2
44,"('network', 'nn')",2
46,"('vector', 'machine')",2
63,"('btc', 'eth')",2
56,"('sec’s', 'announcement')",2
62,"('correlation', 'ucry')",2
61,"('finding', 'indicate')",2
60,"('empirical', 'finding')",2
59,"('ethereum', 'eth')",2
58,"('bitcoin', 'btc')",2
57,"('announcement', 'ripple')",2
55,"('covid-pandemic', 'crisis')",2
47,"('random', 'forest')",2
54,"('exchange', 'attack')",2
53,"('icos', 'cryptocurrency')",2
52,"('banning', 'icos')",2
51,"('china', 'banning')",2
49,"('model', 'study')",2
48,"('predict', 'cryptocurrency')",2
99,"('news', 'data')",2
